Access to electricity (% of population),"Adjusted net savings, including particulate emission damage (% of GNI)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide","Annual freshwater withdrawals, total (% of internal resources)",Arable land (% of land area),"Birth rate, crude (per 1,000 people)",Cereal yield (kg per hectare),"Children out of school, primary, female","Children out of school, primary, male",Container port traffic (TEU: 20 foot equivalent units),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),"Current account balance (BoP, current US$)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Expense (% of GDP),Exports of goods and services (% of GDP),External debt stocks (% of GNI),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)",Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Fuel exports (% of merchandise exports),GDP (current US$),GDP growth (annual %),"GNI per capita, PPP (current international $)","GNI, PPP (current international $)","Government expenditure on education, total (% of GDP)","Grants, excluding technical cooperation (BoP, current US$)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Incidence of tuberculosis (per 100,000 people)","Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net ODA received per capita (current US$),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Population, total","Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Renewable internal freshwater resources, total (billion cubic meters)","Revenue, excluding grants (% of GDP)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,Rural population (% of total population),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),Short-term debt (% of total reserves),Surface area (sq. km),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Total reserves (includes gold, current US$)",Trained teachers in primary education (% of total teachers),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)",Gender Ratio Class
100.0,8.385,43.68,10.53,1.47,11513.0,8.76,4.87,11.69,1589.6,11816.0,12074.0,1619953.5,0.77,0.3,101.09,2629308365.0,9.13,12.7,3.99,24.83,34.89,51.52,13759708513.0,1.63,354.45,24.93,23.0,88.07,44.4,2277.7,3.38,24496505941.0,-1.04,27530.0,42000024373.0,3.0,258655000.0,22.195,0.1,5248961.0,94.0,93.0,42.61,13.0,39.96,2.06,2.455,46.35,62.54,43.58,668306.0,5130.0,76.4,69.66,72.97,82.81,56.28,39.38,8620000000.0,5749000000.0,58.66,0.89,130.88,15.9,3.265,60.85,0.665,4.69,-4.13,2632.0,480160003.65,4.29,19.3,69.6,11.1,0.49,21.72,50.66,1525663.0,1.1,12.2,0.58,97.09,26.19,0.5,3.84,20.955,8.55,13.9,713019.0,46.74,99.91,95.23,55.27,312.65,22.02,5130.0,62150000.0,14.025,6879594622.0,94.645,4.45,812644.0,53.27,13.83,25.94,3
100.0,8.385,54.135000000000005,38.53,6.56,15844.0,9.245000000000001,10.295,15.145,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,104.94,-319279309.5,8.129999999999999,6.2,3.99,24.83,34.89,51.52,13759708513.0,2.03,92.2,54.92,12.4,105.58000000000001,0.0,0.0,3.38,8626081321.0,5.15,16040.0,70041413822.0,1.42,258655000.0,22.195,5.99,95210004.0,99.0,88.0,42.61,0.0,12.54,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,2.08,75.7,69.56,72.54,105.97,30.3,22.42,8031000000.0,10024000000.0,57.73,1.495,102.02,2.9,3.265,60.85,0.665,4.69,-4.13,206.0,480160003.65,1.63,12.81,51.22,7.855,-0.64,21.72,50.98,36686.0,0.4,5.2,0.44,97.09,33.33,20.2,32.15,20.955,8.55,13.9,0.0,0.0,99.91,95.23,55.27,16600.34,22.02,90.08,62150000.0,14.025,8424740406.0,94.645,6.035,36686.0,100.0,29.265,27.884999999999998,3
89.3,8.385,53.01,79.42,2.56,15844.0,46.63,9.89,19.82,5151.1,11816.0,12074.0,1619953.5,0.52,0.67,125.16,-319279309.5,11.43,10.8,6.57,24.83,31.11,41.12,13759708513.0,2.37,104.64,2.76,2.39,114.24,14.03,170136.9,8.68,420000000000.0,4.7,13900.0,70041413822.0,6.55,258655000.0,16.34,5.55,95210004.0,86.0,87.0,24.97,42.0,24.62,4.61,2.455,49.64,62.46,46.51,4154629.0,91605.6,65.0,59.46,62.34,104.22,45.35,24.43,8031000000.0,114000000000.0,56.55,0.81,168.92,34.7,0.25,17.54,0.665,4.22,-4.9,10934.0,1041569946.0,0.34,28.67,65.35,5.97,1.0,21.72,51.35,59392255.0,0.4,7.9,0.5,97.01,46.58,9.7,44.8,20.955,11.6,13.9,19096392.0,32.15,98.12,111.8,25.36,16628.14,22.02,100430.0,62150000.0,14.025,57597149617.0,94.645,6.035,4022829.0,67.85,27.5,24.23,3
100.0,8.385,41.2,33.33,16.96,15844.0,10.0,8.0,13.33,1655.5,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,100.63,-182647499.9,8.99,11.7,3.03,24.83,34.89,51.52,13759708513.0,1.6,73.09,20.96,11.1,100.87,63.83,478.7,0.0,555266666.7,6.89,14490.0,1048917815.0,5.47,37100000.0,22.195,3.31,291177.0,92.0,88.0,42.61,16.0,12.17,1.48,2.455,52.455,69.39500000000001,44.875,4154629.0,750.0,76.3,69.73,72.81,102.28,30.3,22.42,20000000.0,230000000.0,45.02,1.495,85.86,31.7,3.265,60.85,0.665,4.69,-4.13,57.0,79069999.69,1.63,19.86,70.82,9.32,0.58,21.72,50.23,72412.0,0.4,6.7,0.53,97.09,34.38,8.8,0.2,20.955,8.55,13.9,20713.0,28.61,92.49,87.17,55.27,597.575,22.02,750.0,1140000.0,14.91,190843317.1,94.645,6.035,51699.0,71.4,29.265,27.884999999999998,3
97.5,7.68,56.16,42.54,10.07,71556.0,18.58,18.75,21.81,3834.8,11816.0,12074.0,1619953.5,10.0,4.33,105.11,-319279309.5,7.31,7.1,2.78,24.83,25.75,51.52,13759708513.0,2.75,232.03,8.51,4.13,100.25,24.23,72234.8,1.18,394000000000.0,5.71,9110.0,70041413822.0,3.87,501740000.0,20.2,5.99,95210004.0,90.0,57.0,37.73,42.0,28.89,3.93,2.455,44.03,68.74,38.73,4154629.0,298170.0,71.48,67.17,69.27,86.51,30.3,41.78,74618000000.0,10024000000.0,50.49,1.41,143.44,27.9,0.4,14.35,0.68,4.69,-4.13,-563.5,480160003.65,1.63,30.64,64.04,5.33,1.49,14.07,49.23,6719538.0,0.2,5.2,0.39,91.1,27.96,28.0,32.15,15.48,8.55,13.9,1735323.5,52.32,90.61,87.13,34.85,132.74,22.02,300000.0,62150000.0,12.2,8424740406.0,94.645,3.4,4022829.0,47.68,38.92,30.25,3
83.6,8.385,57.68,7.14,22.28,15844.0,9.245000000000001,2.86,20.78,1719.0,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,122.83,-319279309.5,6.21,15.6,6.46,24.83,20.1,51.52,13759708513.0,2.71,0.47,5.38,6.27,119.16,92.07,644.5,3.38,390000000.0,2.8,4320.0,489227074.7,4.255,130640000.0,22.195,5.99,95210004.0,72.0,64.0,67.51,80.0,5.02,3.19,2.455,52.455,69.39500000000001,44.875,4154629.0,700.0,74.61,67.12,70.71,103.38,30.3,22.42,115000000.0,254000000.0,94.62,1.495,111.96,25.0,3.265,60.85,0.665,4.69,-4.13,-635.0,130759994.5,1.63,30.7,63.42,5.88,0.91,21.72,49.71,113131.0,0.4,5.2,0.89,97.09,7.14,2.1,32.15,20.955,8.55,13.9,87034.0,76.93,90.93,95.23,55.27,176.79,22.02,700.0,3300000.0,14.025,497434120.4,94.645,6.035,26097.0,23.07,29.265,27.884999999999998,3
100.0,8.385,48.42,71.3,10.89,33922.0,17.17,10.295,7.3,5454.6,11816.0,12074.0,1619953.5,0.18,0.2,121.71,-3882000000.0,8.129999999999999,5.6,6.89,26.57,40.69,51.52,13759708513.0,1.16,78.49,18.27,5.51,113.92,16.73,96960.0,1.13,200000000000.0,3.45,17520.0,725000000000.0,5.14,258655000.0,12.56,4.51,1283624066.0,78.0,88.0,42.01,81.0,23.15,3.4450000000000003,2.455,47.79,62.9,47.81,20311702.0,579400.0,74.36,65.16,69.65,90.72,32.24,28.35,68073000000.0,72843000000.0,70.54,1.495,135.03,8.2,1.14,50.5,0.665,4.69,-3.37,831.0,480160003.65,1.47,15.22,67.38,17.4,-0.81,21.72,50.355000000000004,43848986.0,0.4,4.8,0.27,97.09,20.8,8.9,55.1,23.53,8.55,13.9,13261249.0,30.24,91.15,84.65,75.91,9632.1,22.02,603550.0,62150000.0,15.18,30966674654.0,94.645,9.83,4022829.0,69.76,14.41,18.34,3
100.0,9.21,63.12,52.15,1.62,15844.0,12.34,32.79,11.0,7171.3,11816.0,12074.0,1619953.5,0.43,0.27,96.52,-319279309.5,9.8,5.3,3.23,23.84,30.03,51.52,13759708513.0,1.84,153.32,47.64,12.4,96.72,31.66,173364.0,3.2,28144331507.0,6.44,55020.0,70041413822.0,5.43,258655000.0,23.57,5.99,95210004.0,96.0,94.0,31.92,7.6,16.4,1.64,2.455,52.2,59.84,48.83,4154629.0,547557.0,85.5,79.3,82.32,96.97,62.59,51.7,8031000000.0,10024000000.0,43.93,1.92,116.69,4.1,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,1.85,17.37,61.3,21.32,0.29,22.86,51.66,6719538.0,0.3,2.5,0.81,97.09,39.51,16.2,200.0,16.88,8.55,13.9,12711228.0,18.76,102.58,104.52,69.94,597.575,22.02,549086.87,62150000.0,14.025,8424740406.0,94.645,7.87,4022829.0,81.24,6.63,8.68,3
100.0,8.385,47.81,11.11,6.56,15844.0,9.245000000000001,11.11,7.19,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,104.94,79257066.71,11.24,4.3,3.13,24.83,69.07,51.52,13759708513.0,1.18,3.86,17.66,32.5,105.58000000000001,2.33,4.2,0.03,3103184102.0,5.15,37070.0,3949220211.0,4.255,258655000.0,13.46,4.82,1171746.0,90.0,89.0,70.83,6.5,24.14,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,180.0,77.32,71.8,74.63,105.97,30.3,22.42,123000000.0,1064000000.0,38.25,1.495,132.35,15.4,3.265,60.85,0.665,4.69,-4.13,501.0,480160003.65,1.63,16.8,67.66,15.54,-0.05,21.72,52.87,106537.0,0.4,5.2,0.76,100.94,23.78,8.8,32.15,20.955,8.55,13.9,59803.0,56.13,99.91,95.23,55.27,1661.39,22.02,180.0,62150000.0,14.025,1512960280.0,94.645,6.035,46734.0,43.87,29.265,27.884999999999998,3
100.0,8.385,51.59,37.95,0.63,15844.0,4.22,10.01,10.3,5515.8,11816.0,12074.0,1619953.5,2.35,1.88,80.53,-319279309.5,8.2,4.6,1.53,24.83,71.29,51.52,13759708513.0,1.52,177.19,47.94,34.5,94.38,32.21,12725.5,1.13,28144331507.0,5.39,16040.0,699000000000.0,5.04,258655000.0,35.25,14.24,95210004.0,96.0,95.0,58.97,4.7,25.58,0.58,2.455,62.23,72.68,46.8,4981500.0,39509.63,85.8,81.8,83.75,98.35,70.83,22.42,8031000000.0,10024000000.0,86.58,0.78,123.43,4.0,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,0.64,15.07,65.97,18.97,0.77,16.17,50.36,8704546.0,0.2,2.5,0.44,95.48,42.5,27.7,40.4,20.955,8.55,13.9,2263530.0,26.0,101.48,103.61,71.89,597.575,22.02,41290.7,62150000.0,14.025,8424740406.0,94.645,5.1,6441016.0,74.0,9.69,9.54,3
100.0,8.385,56.36,47.49,0.71,15844.0,24.11,33.37,9.6,6998.1,11816.0,12074.0,1619953.5,0.47,0.25,90.39,-319279309.5,12.3,6.9,2.7,24.83,47.28,51.52,13759708513.0,1.58,130.14,44.06,46.0,94.49,32.68,114190.0,2.6,28144331507.0,3.16,64330.0,70041413822.0,5.45,258655000.0,30.87,15.39,95210004.0,91.0,97.0,41.88,5.0,27.03,3.07,2.455,55.47,65.83,46.71,4154629.0,349390.0,83.3,78.4,80.79,97.06,72.23,22.42,8031000000.0,10024000000.0,71.48,1.33,127.56,3.6,3.265,60.85,0.665,4.29,-3.99,-563.5,480160003.65,0.58,13.87,63.96,22.17,0.04,21.72,50.66,6719538.0,0.1,2.5,0.83,100.97,34.92,17.6,107.0,20.955,8.55,13.9,18682511.0,22.46,101.35,101.2,75.67,597.575,22.02,357590.0,62150000.0,14.025,8424740406.0,94.645,3.64,4022829.0,77.54,4.12,5.1,3
95.5,8.385,47.18,19.6,5.97,1625.25,9.245000000000001,12.41,16.95,16.3,11816.0,12074.0,1619953.5,13.97,4.51,104.94,-250632065.1,6.03,2.1,2.45,24.83,23.85,51.52,2060326348.0,1.9,5.37,5.91,10.6,105.58000000000001,11.42,460.2,0.0,2051842610.0,7.03,6660.0,3915787459.0,6.04,66960000.0,17.57,2.04,134350.0,93.0,95.0,53.61,35.0,12.52,1.86,2.455,49.15,61.74,44.95,238872.0,4030.0,78.46,69.59,74.05,84.62,1.18,27.1,55000000.0,821000000.0,42.69,0.58,100.38,12.8,7.18,60.85,0.665,4.69,-4.13,-1274.0,145240005.5,0.99,26.61,67.95,5.44,0.9,21.72,50.28,587925.0,0.9,18.2,0.52,97.09,38.89,22.6,0.3,20.955,13.5,13.9,193416.0,32.9,96.4,86.49,55.27,569.8,22.02,4030.0,25330000.0,11.2,769650450.7,94.645,13.91,394509.0,67.1,44.74,26.96,3
99.5,8.385,43.11,28.64,6.56,15844.0,1.19,6.97,12.88,4477.4,11816.0,12074.0,1619953.5,3.16,1.32,115.35,-319279309.5,8.33,8.8,3.96,24.83,19.11,51.52,13759708513.0,1.64,92.2,19.84,13.8,112.13,59.27,20515.57,13.66,28144331507.0,4.76,17120.0,70041413822.0,5.5,231590000.0,17.16,9.0,95210004.0,68.0,73.0,18.55,49.0,22.12,8.3,2.455,52.31,72.79,43.14,4154629.0,91605.6,76.01,69.56,72.75,108.55,30.37,30.68,8031000000.0,10024000000.0,30.86,1.16,102.49,14.3,0.07,5.2,0.665,4.69,-4.14,-563.5,1114540039.0,0.93,20.54,69.88,9.58,0.53,21.72,50.87,6719538.0,0.6,4.7,0.44,97.09,15.2,46.5,32.15,27.33,13.1,18.3,1735323.5,12.68,103.47,106.65,56.83,3467.56,22.02,100430.0,62150000.0,14.025,8424740406.0,94.645,13.16,4022829.0,87.32,25.44,32.17,3
100.0,10.83,51.99,47.37,2.24,60781.0,17.29,36.19,8.8,4562.5,11816.0,12074.0,1619953.5,1.66,0.86,107.9,-319279309.5,13.8,6.8,3.42,24.92,57.7,51.52,13759708513.0,1.33,156.06,22.82,14.0,110.69,31.02,94950.0,2.21,28144331507.0,6.93,38630.0,70041413822.0,4.67,258655000.0,20.47,9.45,95210004.0,90.0,71.0,54.38,10.0,28.1,5.06,2.455,50.28,66.36,45.27,18519217.0,306100.0,79.6,71.6,75.5,113.64,53.42,32.89,8031000000.0,10024000000.0,100.2,2.22,132.06,4.4,3.265,60.85,0.665,4.69,-4.13,-2968.0,480160003.65,1.24,15.37,65.79,18.84,-0.4,21.72,51.64,37747124.0,0.1,2.5,0.45,97.09,28.32,15.2,53.6,24.17,8.55,13.9,15070539.0,39.93,96.6,110.53,72.21,597.575,22.02,312710.0,62150000.0,14.025,8424740406.0,94.645,3.36,22676585.0,60.08,12.02,18.74,3
100.0,8.385,48.98,23.26,1.91,15844.0,9.245000000000001,16.28,10.83,2759.3,11816.0,12074.0,1619953.5,0.07,0.07,90.63,-319279309.5,9.01,14.0,4.01,24.83,30.23,51.52,13759708513.0,1.63,37.2,36.35,42.9,89.53,14.65,63.0,4.66,4945276000.0,-1.18,14470.0,4067837443.0,4.86,258655000.0,22.195,17.16,19196509.0,82.0,77.0,39.64,0.41,12.63,3.4450000000000003,2.455,58.32,64.43,50.18,142587.0,430.0,79.36,75.63,77.57,89.16,27.75,38.11,350000000.0,1674000000.0,40.93,1.495,112.6,11.2,3.265,60.85,0.665,4.69,-4.13,-28.0,480160003.65,2.33,17.16,67.12,15.72,0.18,21.72,52.05,281200.0,1.0,2.5,0.44,100.24,20.0,5.5,0.08,20.955,8.55,13.9,193336.0,68.75,98.15,104.71,55.27,917.5,22.02,430.0,62150000.0,14.025,1672884485.0,94.645,9.42,87864.0,31.25,13.83,26.15,3
100.0,8.385,54.27,43.1,7.31,54218.0,12.91,15.42,13.9,5193.0,11816.0,12074.0,1619953.5,0.85,0.31,107.19,-319279309.5,8.96,5.4,3.39,24.83,18.0,51.52,13759708513.0,1.89,62.18,23.15,16.8,108.4,10.4,20515.57,2.64,28144331507.0,10.72,25560.0,70041413822.0,4.64,60920000.0,19.54,4.42,466425814.0,81.0,86.0,14.93,29.0,23.92,3.4450000000000003,2.455,50.28,70.87,42.53,21191985.0,91605.6,78.65,72.18,75.39,111.03,42.34,28.59,77935000000.0,63185000000.0,28.92,0.63,130.46,9.7,0.03,3.39,0.665,4.69,-4.13,2344.0,155259994.5,0.39,23.36,64.82,11.82,0.95,21.72,50.49,45808747.0,0.4,3.2,0.41,97.09,44.75,9.2,32.15,20.955,5.0,8.6,3559798.0,7.77,110.16,116.56,55.27,5060.91,22.02,100430.0,31000000.0,14.025,39653498611.0,94.645,8.74,4022829.0,92.23,22.68,24.99,4
100.0,8.385,53.66,44.36,0.95,15844.0,15.77,17.24,11.0,8252.2,11816.0,12074.0,1619953.5,0.09,0.06,101.0,-319279309.5,10.4,10.7,4.24,24.83,10.81,51.52,13759708513.0,1.66,128.74,37.01,28.6,104.57,33.87,20515.57,15.92,28144331507.0,5.8,71610.0,70041413822.0,5.43,258655000.0,17.93,19.9,95210004.0,94.0,92.0,14.45,2.6,17.67,4.7,2.455,55.59,67.04,46.15,4154629.0,91605.6,79.3,73.5,76.33,110.06,62.6,44.08,8031000000.0,10024000000.0,19.88,1.495,107.32,6.3,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,0.3,18.24,65.08,16.68,0.16,21.72,50.46,6719538.0,0.4,2.5,1.0,101.09,27.65,10.9,32.15,20.955,8.55,13.9,1735323.5,17.13,98.31,101.19,55.27,597.575,22.02,100430.0,62150000.0,14.025,8424740406.0,94.645,5.35,4022829.0,82.87,3.04,5.8,4
100.0,8.385,60.82,7.37,1.29,15844.0,1.45,6.22,11.0,5064.7,11816.0,12074.0,1619953.5,0.38,0.33,91.72,-319279309.5,8.8,5.0,3.49,24.83,46.5,51.52,13759708513.0,1.67,117.13,40.84,12.1,96.45,68.7,20515.57,6.95,28144331507.0,6.15,66040.0,688000000000.0,4.255,258655000.0,33.02,13.93,95210004.0,98.0,97.0,41.75,3.8,22.69,2.16,2.455,62.19,69.37,47.13,5638697.0,407283.54,84.9,81.3,83.06,99.69,58.3,51.21,8031000000.0,10024000000.0,58.87,1.19,124.35,2.5,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,0.01,17.71,62.18,20.1,0.6,15.9,49.63,10415811.0,0.4,2.5,0.97,99.82,46.99,57.9,171.0,20.955,8.55,13.9,1225108.0,11.76,99.91,95.23,55.27,597.575,22.02,528860.72,62150000.0,14.025,62053165557.0,94.645,8.72,9190703.0,88.24,4.46,8.77,4
100.0,8.385,51.12,31.48,1.22,15844.0,5.71,15.99,9.6,7112.4,11816.0,12074.0,1619953.5,1.17,1.14,100.74,-319279309.5,10.3,4.6,2.86,24.83,55.95,51.52,13759708513.0,1.48,128.57,29.25,42.5,100.48,47.29,39027.4,2.47,28144331507.0,4.24,64410.0,577000000000.0,5.49,258655000.0,29.31,11.02,95210004.0,86.0,99.0,55.03,5.0,26.07,2.77,2.455,56.1,66.44,46.93,4688653.0,82520.0,83.7,78.8,81.19,100.31,61.75,44.84,8031000000.0,10024000000.0,88.11,0.87,121.97,3.3,3.265,60.85,0.665,5.26,-4.13,-563.5,480160003.65,0.82,14.39,66.17,19.44,0.44,21.72,50.78,8955797.0,0.4,2.5,0.84,99.82,40.44,36.0,55.0,20.955,8.55,13.9,3672325.0,41.01,101.64,102.31,55.27,597.575,22.02,83879.0,62150000.0,14.025,33957000221.0,94.645,6.46,5283472.0,59.0,7.75,8.33,4
100.0,8.385,79.71,19.97,6.56,15844.0,0.07,5.19,31.29,1051.9,11816.0,12074.0,1619953.5,9.28,6.0,111.76,-101746128.3,8.84,2.1,3.99,24.83,34.89,56.1,1848648347.0,4.09,5.57,0.25,0.11,100.2,78.77,75871.8,3.38,3513049520.0,4.99,1460.0,7592740653.0,2.11,459710000.0,22.195,5.99,961787.0,66.0,58.0,42.61,42.0,18.22,3.4450000000000003,2.455,72.04,80.74,47.96,2338007.0,96320.0,62.07,59.41,60.75,103.2,30.3,22.42,881000000.0,1338000000.0,63.16,1.0,31.83,15.4,3.265,116.75,0.665,4.69,-4.13,-11862.0,606330017.1,2.08,41.01,55.65,3.34,2.06,21.72,50.22,5193416.0,1.0,5.2,0.43,97.09,10.96,93.2,200.0,20.955,8.55,13.9,2463081.0,47.43,99.91,95.23,55.27,6.74,22.02,111370.0,35780000.0,14.025,700828780.1,94.645,3.79,2730335.0,52.57,89.49,66.17,4
100.0,8.385,45.64,13.97,6.56,15844.0,9.245000000000001,0.72,12.76,3062.55,11816.0,12074.0,1619953.5,0.31,0.33,102.15,-319279309.5,5.38,7.4,2.6,24.83,13.1,51.52,13759708513.0,1.7,92.2,26.72,47.9,103.74,43.06,1494.6,0.06,6150640646.0,2.09,16040.0,70041413822.0,4.255,258655000.0,22.195,5.99,23343057.0,90.0,89.0,38.53,13.0,24.14,3.4450000000000003,2.455,49.61,62.13,44.05,133089.0,3471.0,82.63,76.98,79.49,107.91,30.3,22.42,119000000.0,1981000000.0,34.14,1.495,106.21,15.4,3.265,60.85,0.665,4.69,-4.13,-378.0,480160003.65,7.49,21.71,68.66,9.63,0.7,21.72,49.42,304032.0,0.4,5.1,0.44,97.09,23.78,7.4,32.15,20.955,8.55,13.9,115331.0,37.93,99.91,95.23,55.27,1476.82,22.02,3471.0,62150000.0,14.025,8424740406.0,94.645,12.49,188701.0,62.07,13.35,19.36,4
100.0,9.86,53.42,38.64,5.78,15844.0,3.02,2.34,11.48,3062.55,11816.0,12074.0,1619953.5,0.89,0.64,104.93,-319279309.5,6.83,6.2,3.77,24.83,22.34,51.52,13759708513.0,1.64,92.2,35.26,17.8,103.26,37.63,99085.27,1.19,254000000000.0,4.55,46920.0,240000000000.0,5.55,258655000.0,18.54,9.76,673724583.0,90.0,91.0,26.21,6.8,18.97,3.94,2.455,66.13,75.61,47.48,2934771.0,263310.0,84.0,80.5,82.21,102.49,18.53,21.63,44777000000.0,49855000000.0,37.31,1.17,113.96,4.7,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,0.28,18.89,65.18,15.93,0.41,21.72,50.44,5111300.0,0.1,2.5,1.03,97.09,49.17,28.9,32.15,20.955,8.55,13.9,675254.0,13.21,97.92,117.6,55.27,16060.69,22.02,267710.0,62150000.0,14.025,16113750240.0,94.645,3.78,4436046.0,86.79,16.06,21.87,4
100.0,8.385,57.32,65.45,1.09,15844.0,16.27,10.295,10.8,6355.0,11816.0,12074.0,1619953.5,0.43,0.3,96.3,-319279309.5,9.8,5.3,1.96,24.83,58.7,51.52,13759708513.0,1.72,132.62,44.96,12.4,102.97,15.73,6293.8,4.2,406000000000.0,6.84,72640.0,425000000000.0,7.0,258655000.0,33.11,13.77,95210004.0,97.0,95.0,52.01,3.8,19.59,1.85,2.455,58.07,67.11,46.95,3070703.0,40000.0,83.3,79.6,81.4,106.32,58.02,22.42,8031000000.0,120000000000.0,60.7,1.32,125.78,3.6,3.265,60.85,0.64,4.69,-4.13,-563.5,480160003.65,0.68,16.17,63.57,20.27,0.43,23.2,50.26,5856733.0,0.1,2.5,0.99,99.68,39.66,39.5,6.0,20.955,8.55,13.9,688752.0,11.76,100.31,95.23,55.27,597.575,22.02,42920.0,62150000.0,14.025,8424740406.0,94.645,5.04,5167981.0,88.24,3.83,6.92,4
100.0,8.385,53.6,80.39,7.94,15844.0,3.97,11.6,10.47,5499.4,11816.0,12074.0,1619953.5,1.15,0.6,91.17,-1499964173.0,12.16,9.0,2.94,24.83,31.98,51.52,13759708513.0,1.49,211.12,32.55,36.4,100.47,11.72,20520.0,5.65,60760798596.0,5.56,26280.0,90038825700.0,4.46,258655000.0,15.58,8.6,132818761.0,91.0,93.0,24.84,32.0,17.56,7.75,2.455,56.13,70.48,46.56,1738442.0,175020.0,79.26,71.65,75.44,105.97,23.97,19.46,9535000000.0,10320000000.0,32.68,2.1,136.92,6.8,3.265,60.85,0.665,4.69,-4.13,-1486.0,480160003.65,0.22,19.44,65.1,15.46,-0.08,21.72,51.57,3426260.0,0.6,2.5,0.61,100.5,24.24,57.8,92.2,20.955,8.55,13.9,150653.0,4.4,107.99,95.23,75.17,2470.04,22.02,176220.0,62150000.0,14.025,16962770287.0,94.645,9.3,3275607.0,95.6,23.29,26.79,4
100.0,8.385,57.67,71.16,0.71,15844.0,5.81,24.84,10.1,6966.8,11816.0,12074.0,1619953.5,0.39,0.33,90.1,-319279309.5,9.7,6.3,2.2,24.83,29.6,51.52,13759708513.0,1.56,240.94,41.11,47.1,100.53,13.22,31986.67,8.33,28144331507.0,8.67,53130.0,70041413822.0,5.9,258655000.0,17.46,5.99,95210004.0,93.0,91.0,29.75,8.0,16.61,2.52,2.455,58.35,66.15,47.86,4154629.0,241930.0,82.8,78.7,80.7,106.53,66.86,44.95,8031000000.0,10024000000.0,37.09,2.16,118.57,4.2,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,0.19,17.66,63.42,18.92,-0.08,27.43,50.6,6719538.0,0.4,2.5,0.89,99.45,34.26,12.2,145.0,20.955,8.55,13.9,10622327.0,15.85,102.04,113.68,77.08,597.575,22.02,243610.0,62150000.0,14.025,8424740406.0,94.645,4.83,4022829.0,84.15,10.0,16.73,4
