Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide",Arable land (% of land area),"Contributing family workers, female (% of female employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Exports of goods and services (% of GDP),Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Fuel exports (% of merchandise exports),GDP (current US$),"GNI per capita, PPP (current international $)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Industry (including construction), value added (% of GDP)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Prevalence of HIV, total (% of population ages 15-49)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",Gender Ratio Class
100.0,0.67,15844.0,5.66,0.72,107.54,0.68,54.41,92.2,23.64,22.3,91.37,3.38,106000000000.0,27960.0,22.195,5.99,95210004.0,89.0,42.33,50.48,31.26,69.39500000000001,41.13,1142991.0,8870.0,83.5,30.3,22.42,57.73,1.495,112.44,15.4,3.265,0.665,4.69,-4.13,-7408.0,480160003.65,1.8,-0.58,21.72,52.76,0.4,0.8,97.09,23.78,2.6,8.55,13.9,209073.0,99.91,95.23,55.27,494.38,62150000.0,14.025,7.9,3053620.0,8.68,2
100.0,4.37,19350.0,4.76,2.28,97.42,1.99,36.18,92.2,20.92,9.95,101.32,0.02,64960725734.0,22150.0,14.41,16.97,1457228331.0,89.0,34.61,20.61,50.11,73.52,40.76,2529009.0,51060.0,113.15,55.38,14.16,55.76,1.495,152.01,7.9,0.13,0.665,4.69,-4.13,2084.0,79309997.56,7.21,0.6,27.56,49.97,0.5,0.53,99.08,45.61,34.2,10.7,12.3,957348.0,108.85,95.23,55.27,1689.58,19140000.0,12.63,15.14,4196609.0,22.07,2
100.0,3.94,15844.0,7.43,0.32,111.37,8.46,29.77,25.33,23.74,16.4,111.63,3.38,28144331507.0,38030.0,30.34,9.73,95210004.0,97.0,20.43,31.4,55.28,70.44,48.56,4154629.0,91605.6,111.81,29.99,32.24,43.31,1.495,168.98,5.1,3.265,0.665,4.69,-4.13,-563.5,480160003.65,0.11,-0.34,23.47,50.355000000000004,0.4,0.32,97.09,16.22,3.5,8.55,13.9,1735323.5,101.91,93.34,54.95,16210.02,62150000.0,15.89,4.72,4022829.0,4.85,2
98.6,12.92,45832.2,4.49,28.48,116.71,3.89,27.83,10.35,9.45,4.61,116.96,3.38,40406111693.0,9110.0,13.85,4.55,22371253.0,75.0,31.2,26.36,57.6,78.64,42.46,5664325.0,1083300.0,116.99,3.25,11.94,49.87,1.41,99.62,24.8,1.29,0.665,4.69,-4.13,-4666.0,506820007.3,0.23,1.19,21.72,49.84,0.4,0.36,97.09,46.15,12.8,8.55,13.9,3566464.0,98.86,91.5,55.27,241.65,62150000.0,14.22,5.09,8513008.0,72.85,2
95.3,2.66,71789.0,7.62,6.65,129.48,1.41,41.11,123.91,14.84,20.2,111.52,0.18,67406738100.0,29210.0,30.64,0.26,333800.0,92.0,37.66,26.22,50.42,74.49,40.76,1996749.0,74180.0,101.11,7.69,6.21,50.08,1.495,147.7,14.1,0.14,0.665,4.69,-4.13,5473.0,91400001.53,1.45,1.32,21.72,49.98,1.0,0.5,94.78,22.54,28.0,8.55,13.9,1358683.0,100.74,82.87,53.04,1546.45,8610000.0,14.025,10.45,2992584.0,34.92,2
100.0,3.28,20505.0,11.45,14.28,127.72,4.96,37.32,55.18,14.83,5.9,127.65,3.38,210000000000.0,12470.0,22.195,5.99,95210004.0,75.0,24.18,24.14,52.455,69.17,44.875,10683686.0,434128.0,123.89,0.04,5.86,67.82,2.3,93.6,24.3,0.87,0.665,4.69,-4.13,-563.5,480160003.65,1.08,2.27,23.86,49.93,0.1,0.38,97.09,28.88,1.1,8.55,13.9,12572937.0,99.91,95.23,55.27,21.32,62150000.0,14.025,16.17,4022829.0,22.14,2
100.0,16.97,5017.0,13.12,16.24,106.66,4.23,16.52,13.39,2.23,3.22,104.44,3.38,44993521774.0,4660.0,13.95,2.15,5718462.0,62.0,20.23,24.5,66.7,75.15,47.5,11098782.0,472710.0,105.76,11.69,7.61,25.11,0.98,79.97,72.2,2.58,0.665,4.69,-4.13,-9889.0,1140959961.0,3.28,2.64,29.26,50.13,0.4,0.35,97.09,33.89,79.2,8.55,13.9,11383170.0,108.44,95.23,55.27,17.28,62150000.0,14.025,3.95,15815458.0,81.17,2
100.0,8.0,15996.0,4.12,23.66,104.34,3.26,27.0,92.2,14.03,10.4,101.69,3.38,107000000000.0,13240.0,23.87,4.84,77485367.0,65.0,26.15,27.44,53.72,78.07,41.2,8652009.0,248360.0,94.55,7.0,13.49,48.76,2.24,94.34,12.6,0.28,0.665,4.69,-3.97,-563.5,300779998.8,5.73,1.18,27.78,50.07,0.4,0.45,93.94,39.42,18.9,8.55,13.9,6342935.0,98.21,95.23,55.27,429.04,65550000.0,14.025,4.55,11454802.0,61.83,2
99.8,4.37,464.0,32.24,0.71,113.36,4.72,61.4,131.06,32.77,11.5,109.51,6.0,84041493016.0,28240.0,20.11,10.92,95210004.0,89.0,59.57,20.85,49.03,62.0,46.13,3268751.0,108560.0,91.34,49.4,32.31,103.96,1.52,114.77,6.3,3.265,0.665,4.69,-4.65,-8716.0,480160003.65,1.37,-0.81,18.67,51.5,0.1,0.42,94.26,23.75,20.4,8.55,13.9,1648939.0,95.61,98.71,55.27,597.575,62150000.0,10.97,5.27,5228804.0,5.91,2
100.0,5.02,15844.0,19.69,5.29,107.92,5.89,42.57,62.02,24.59,21.2,95.71,8.54,23672712242.0,18160.0,22.04,5.32,323354391.0,61.0,53.91,24.8,39.63,60.57,40.61,1387825.0,51200.0,105.97,28.99,18.57,91.43,0.93,114.0,6.1,2.41,0.665,4.69,-4.13,-25865.0,564419982.9,2.11,-1.44,21.72,50.77,0.4,0.39,97.09,26.19,36.6,8.55,13.9,1654279.0,99.91,84.97,43.58,3925.17,93620000.0,13.83,14.9,1616664.0,21.76,2
100.0,12.0,50340.0,16.83,3.5999999999999996,118.58,3.14,33.18,55.29,6.15,6.8,116.58,0.69,142000000000.0,8460.0,28.22,4.3,1132107354.0,99.0,42.45,25.8,52.455,69.84,44.875,12285624.0,446300.0,112.1,61.95,41.23,66.2,1.495,137.46,17.9,0.69,0.665,4.96,-4.13,-563.5,966190002.4,3.99,1.05,22.07,49.66,0.1,0.44,100.3,22.78,10.9,8.55,13.9,13323470.0,99.91,82.18,42.82,600.97,62150000.0,13.73,10.54,23753114.0,54.66,2
100.0,1.97,15844.0,16.37,0.3,101.94,3.73,34.89,103.49,37.36,22.3,98.2,6.84,36864792512.0,43940.0,28.53,5.99,95210004.0,89.0,81.27,23.4,57.82,69.42,48.78,702984.0,42750.0,95.03,46.83,29.46,57.73,2.01,149.08,2.0,3.265,0.665,4.69,-4.13,2995.0,480160003.65,0.12,0.11,21.72,52.57,0.7,0.62,98.23,25.74,38.0,8.55,13.9,407066.0,98.81,113.01,73.15,597.575,62150000.0,14.025,6.18,923866.0,4.5,2
