Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Manganese
Mulberry,Fruits,0.039,43.0,9.8,0.0,6e-05,0.39,1.7,6e-06,0.0019,0.018,0.04,8.1,0.038,0.21,0.194,1.4,0.03,6e-07,0.01,25.0,1e-06,3e-05,0.0,0.0001,0.00062,,5e-05,0.036,0.0001199999999999,
Nectarine,Fruits,0.006,44.0,11.0,0.0,8.999999999999999e-05,0.32,1.7,5e-06,0.00028,0.009,0.09,8.9,0.026,0.11,0.201,1.1,0.03,0.0,0.0,332.0,1.7e-05,3e-05,0.0,3e-05,0.0011,0.00019,3e-05,0.0054,0.00017,5e-05
Orange,Fruits,0.04,47.0,12.0,0.0,5e-05,0.12,2.4,3e-05,0.0001,0.01,0.02,9.4,0.014,0.03,0.181,0.94,0.02,5e-07,0.0,225.0,1.1e-05,8.999999999999999e-05,0.0,4e-05,0.00028,0.00025,6e-05,0.053,7.000000000000001e-05,3e-05
Mandarin orange,Fruits,0.037,53.0,13.0,0.0,4e-05,0.31,1.8,1.6e-05,0.00015,0.012,0.06,12.0,0.02,0.07,0.166,0.81,0.04,1.0000000000000001e-07,0.002,681.0,3.4e-05,6e-05,0.0,4e-05,0.00038,0.00022,8e-05,0.027,7.000000000000001e-05,4e-05
Papaya,Fruits,0.02,43.0,11.0,0.0,5e-05,0.26,1.7,3.7e-05,0.00025,0.021,0.07,9.1,0.01,0.06,0.182,0.47,0.08,6e-07,0.008,950.0,4.7e-05,2e-05,0.0,3e-05,0.0003599999999999,0.00019,4e-05,0.061,8e-05,4e-05
Passion fruit,Fruits,0.012,97.0,23.0,0.0,8.999999999999999e-05,0.7,10.0,1.4e-05,0.0016,0.029,0.09,13.0,0.068,0.41,0.348,2.2,0.06,6e-07,0.028,1272.0,6.4e-05,0.0,0.0,0.00013,0.0015,,0.0001,0.03,0.0001,
Peach,Fruits,0.006,39.0,9.5,0.0,7.000000000000001e-05,0.25,1.5,4e-06,0.00025,0.009,0.07,8.0,0.02,0.09,0.19,0.91,0.02,1.0000000000000001e-07,0.0,326.0,1.6e-05,2e-05,0.0,3e-05,0.00081,0.00015,3e-05,0.0066,0.00017,6e-05
Pear,Fruits,0.009,57.0,15.0,0.0,8e-05,0.14,3.1,7e-06,0.0001799999999999,0.007,0.08,12.0,0.012,0.09,0.116,0.36,0.02,1.0000000000000001e-07,0.001,25.0,1e-06,1e-05,0.0,3e-05,0.00016,5e-05,3e-05,0.0043,0.0001,5e-05
Persimmon,Fruits,0.027,127.0,34.0,0.0,,0.4,,,0.0025,,,34.0,0.026,,0.31,0.8,,,0.001,,,,0.0,,,,,0.066,,
Pineapple,Fruits,0.013,50.0,13.0,0.0,0.00011,0.12,1.4,1.8e-05,0.00029,0.012,0.01,12.0,0.008,0.04,0.109,0.54,0.01,1.0000000000000001e-07,0.001,58.0,3e-06,8e-05,0.0,3e-05,0.0005,0.0002099999999999,0.00011,0.048,0.0001199999999999,0.00093
Pitanga (Surinam cherry),Fruits,0.009,33.0,7.5,0.0,,0.4,,,0.0002,0.012,,7.5,0.011,,0.103,0.8,,,0.003,1500.0,7.5e-05,3e-05,0.0,4e-05,0.0003,,,0.026,,
Plantain,Fruits,0.002,116.0,31.0,0.0,7.000000000000001e-05,0.18,2.3,2.6e-05,0.00058,0.032,0.02,29.0,0.028,0.03,0.465,0.79,0.07,1.4e-06,0.005,909.0,4.5e-05,5e-05,0.0,5e-05,0.00076,0.00023,0.0002399999999999,0.011,0.00013,
Plum,Fruits,0.006,46.0,11.0,0.0,6e-05,0.28,1.4,5e-06,0.00017,0.007,0.13,10.0,0.016,0.04,0.157,0.7,0.02,0.0,0.0,345.0,1.7e-05,3e-05,0.0,3e-05,0.0004199999999999,0.00014,3e-05,0.0095,0.0001,5e-05
Pomegranate,Fruits,0.01,83.0,19.0,0.0,0.00016,1.2,4.0,3.8e-05,0.0003,0.012,0.09,15.0,0.036,0.08,0.236,1.7,0.12,5e-07,0.003,0.0,0.0,7.000000000000001e-05,0.0,5e-05,0.00029,0.00038,8e-05,0.01,0.00035,0.0001199999999999
Prickly pear,Fruits,0.056,41.0,9.6,0.0,8e-05,0.51,3.6,6e-06,0.0003,0.085,0.08,6.0,0.024,0.21,0.22,0.73,0.07,6e-07,0.005,43.0,2e-06,1e-05,0.0,6e-05,0.00046,,6e-05,0.014,0.0001199999999999,
Prunes,Fruits,0.043,240.0,64.0,0.0,0.00028,0.38,7.1,4e-06,0.00093,0.041,0.05,57.0,0.069,0.06,0.732,2.2,0.09,3e-07,0.002,781.0,3.9e-05,5e-05,0.0,0.00019,0.0019,0.0004199999999999,0.0002099999999999,0.0006,0.00044,0.0003
Pomelo,Fruits,0.004,38.0,9.6,0.0,5e-05,0.04,1.0,,0.00011,0.006,,8.6,0.017,,0.216,0.76,,,0.001,8.0,0.0,3e-05,0.0,3e-05,0.00022,,4e-05,0.061,8e-05,2e-05
Quince,Fruits,0.011,57.0,15.0,0.0,0.00013,0.1,1.9,3e-06,0.0007,0.008,0.04,13.0,0.017,0.05,0.197,0.4,0.01,6e-07,0.004,40.0,2e-06,2e-05,0.0,3e-05,0.0002,8e-05,4e-05,0.015,4e-05,
Raisin,Fruits,0.05,299.0,79.0,0.0,0.00032,0.46,3.7,5e-06,0.0019,0.032,0.05,75.0,0.101,0.04,0.749,3.1,0.06,6e-07,0.011,0.0,0.0,0.00011,0.0,0.00013,0.00077,0.0001,0.00017,0.0023,0.00022,0.0003
Rambutan,Fruits,0.022,82.0,21.0,0.0,7.000000000000001e-05,0.21,0.9,8e-06,0.00035,0.007,,20.0,0.009,,0.042,0.65,,,0.011,3.0,0.0,1e-05,0.0,2e-05,0.0014,2e-05,2e-05,0.0049,8e-05,0.00034
Raspberry,Fruits,0.025,52.0,12.0,0.0,8.999999999999999e-05,0.65,6.5,2.1e-05,0.00069,0.022,0.06,5.4,0.029,0.38,0.151,1.2,0.02,2.0000000000000002e-07,0.001,33.0,2e-06,3e-05,0.0,4e-05,0.0006,0.00033,6e-05,0.026,0.0004199999999999,0.00067
Roselle,Fruits,0.215,49.0,11.0,0.0,,0.64,,,0.0015,0.051,,11.0,0.037,,0.208,0.96,,,0.006,287.0,1.4e-05,1e-05,0.0,3e-05,0.00031,,,0.012,,
Rose apple,Fruits,0.029,25.0,5.7,0.0,2e-05,0.3,,,7.000000000000001e-05,0.005,,5.7,0.008,,0.123,0.6,,,0.0,339.0,1.7e-05,2e-05,0.0,3e-05,0.0008,,,0.022,6e-05,3e-05
Sapodilla,Fruits,0.021,83.0,20.0,0.0,8.999999999999999e-05,1.1,5.3,1.4e-05,0.0008,0.012,0.52,15.0,0.012,0.01,0.193,0.44,0.19,6e-07,0.012,60.0,3e-06,0.0,0.0,2e-05,0.0002,0.00025,4e-05,0.015,0.0001,
Mamey Sapote,Fruits,0.018,124.0,32.0,0.0,0.0002099999999999,0.46,5.4,7e-06,0.00078,0.011,0.1,27.0,0.026,0.1,0.454,1.5,0.17,,0.007,143.0,7e-06,1e-05,0.0,0.0001199999999999,0.0014,0.0004,0.0007199999999999,0.023,0.00019,0.0002
Soursop,Fruits,0.014,66.0,17.0,0.0,8.999999999999999e-05,0.3,3.3,1.4e-05,0.0006,0.021,0.09,14.0,0.027,0.07,0.278,1.0,0.05,6e-07,0.014,2.0,0.0,7.000000000000001e-05,0.0,5e-05,0.0009,0.00025,6e-05,0.021,0.0001,
Strawberry,Fruits,0.016,32.0,7.7,0.0,5e-05,0.3,2.0,2.4e-05,0.00041,0.013,0.04,5.7,0.024,0.16,0.153,0.67,0.02,4.0000000000000003e-07,0.001,12.0,1e-06,2e-05,0.0,2e-05,0.00039,0.00013,5e-05,0.059,0.00014,0.00039
Tamarind,Fruits,0.074,239.0,63.0,0.0,8.999999999999999e-05,0.6,5.1,1.4e-05,0.0028,0.092,0.18,57.0,0.113,0.06,0.628,2.8,0.27,1.3e-06,0.028,30.0,2e-06,0.00043,0.0,0.00015,0.0019,0.00014,7.000000000000001e-05,0.0035,0.0001,
Watermelon,Fruits,0.007,30.0,7.6,0.0,4e-05,0.15,0.4,3e-06,0.0002399999999999,0.01,0.04,7.2,0.011,0.05,0.112,0.61,0.02,4.0000000000000003e-07,0.001,569.0,2.8e-05,3e-05,0.0,2e-05,0.0001799999999999,0.00022,5e-05,0.0081,0.0001,4e-05
Maraschino cherry,Fruits,0.054,165.0,42.0,0.0,0.00014,0.21,3.2,0.0,0.00043,0.004,0.05,39.0,0.003,0.06,0.021,0.22,0.04,2.0000000000000002e-07,0.004,45.0,2e-06,0.0,0.0,0.0,0.0,5e-05,1e-05,0.0,0.00026,1e-05
Feijoa,Fruits,0.017,61.0,15.0,0.0,4e-05,0.42,6.4,2.3e-05,0.00014,0.009,0.06,8.8,0.019,0.14,0.172,0.71,0.1,,0.003,6.0,0.0,1e-05,0.0,2e-05,0.0003,0.00023,7.000000000000001e-05,0.033,6e-05,8e-05
Asian pear,Fruits,0.004,42.0,11.0,0.0,5e-05,0.23,3.6,8e-06,0.0,0.008,0.05,7.1,0.011,0.06,0.121,0.5,0.01,1.0000000000000001e-07,0.0,0.0,0.0,1e-05,0.0,1e-05,0.00022,7.000000000000001e-05,2e-05,0.0038,2e-05,6e-05
Sour cherry,Fruits,0.011,42.0,10.0,,,0.21,1.2,,0.00064,0.008,,9.3,0.016,,0.115,0.69,,,0.004,,,3e-05,0.0,7.000000000000001e-05,0.00026,4e-05,5e-05,0.0003,7.000000000000001e-05,6e-05
Durian,Fruits,0.006,147.0,27.0,0.0,0.0002099999999999,5.3,3.8,3.6e-05,0.00043,0.03,,23.0,0.039,,0.436,1.5,,,0.002,44.0,2e-06,0.00037,0.0,0.0002,0.0011,0.00023,0.00032,0.02,0.00028,0.00033
Crateva religiosa,Fruits,0.008,69.0,18.0,,6e-05,0.1,5.3,,0.0016,0.024,,12.0,0.047,,0.304,1.5,0.01,,0.02,100.0,5e-06,,,,,,,0.054,0.00031,0.0001799999999999
Clementine,Fruits,0.03,47.0,12.0,,4e-05,0.15,1.7,2.4e-05,0.00014,0.01,,10.0,0.021,,0.177,0.85,,1.0000000000000001e-07,0.001,,,8.999999999999999e-05,,3e-05,0.00064,0.00015,8e-05,0.049,6e-05,2e-05
Nance,Fruits,0.046,73.0,17.0,,4e-05,1.2,7.5,8e-06,0.00038,0.02,,9.5,0.01,,0.244,0.66,,4.0000000000000003e-07,0.003,74.0,4e-06,2e-05,,2e-05,0.00029,0.0001799999999999,2e-05,0.093,8.999999999999999e-05,0.00025
Naranjilla,Fruits,0.008,25.0,5.9,,3e-05,0.22,1.1,3e-06,0.00035,0.011,,4.8,0.012,,0.2,0.44,,4.0000000000000003e-07,0.004,568.0,2.8e-05,5e-05,,0.0,0.0015,0.00022,0.00011,0.0032,0.0001,7.000000000000001e-05
Horned melon,Fruits,0.013,44.0,7.6,,2e-05,1.3,,3e-06,0.0011,0.04,,7.6,0.037,,0.123,1.8,,,0.002,147.0,7e-06,3e-05,,2e-05,0.00057,0.0001799999999999,6e-05,0.0053,0.0004799999999999,4e-05
Coconut,Fruits,0.014,354.0,15.0,0.0,0.00044,33.0,9.0,2.6e-05,0.0024,0.032,1.4,6.2,0.113,0.37,0.356,3.3,30.0,1e-05,0.02,0.0,0.0,7.000000000000001e-05,0.0,2e-05,0.00054,0.0003,5e-05,0.0033,0.0011,0.0015
Cloudberry,Fruits,0.018,51.0,8.6,,,0.8,,,0.0007,,,8.6,0.035,,,2.4,,,,210.0,,5e-05,,7.000000000000001e-05,0.0009,,,0.158,,
Huckleberries,Fruits,0.015,37.0,8.7,,,0.1,,,0.0003,,,8.7,,,,0.4,,,0.01,79.0,,1e-05,,3e-05,0.0003,,,0.0028,,
Banana melon,Fruits,0.013,21.0,4.1,,4e-05,0.2,0.3,2e-05,0.0002099999999999,0.01,,3.8,0.009,,0.14,0.84,,4.0000000000000003e-07,0.011,,,2e-05,,2e-05,0.00046,7.000000000000001e-05,5e-05,0.0081,0.00014,4e-05
Salmonberries,Fruits,0.013,47.0,10.0,,3e-05,0.33,1.9,1.7e-05,0.0004,0.015,,8.2,0.027,,0.11,0.85,,,0.014,496.0,5e-05,4e-05,,6e-05,0.00047,0.00017,8e-05,0.0092,0.00028,0.0011
Chokecherries,Fruits,0.04,156.0,34.0,,7.000000000000001e-05,0.98,17.0,1e-05,0.0004,0.021,,17.0,0.045,,0.309,2.9,,1.7e-06,0.002,43.0,2e-06,3e-05,0.0,6e-05,0.00067,0.00033,0.00019,0.0007,0.00019,0.00019
Rose hip,Fruits,0.169,162.0,38.0,,0.00011,0.34,24.0,3e-06,0.0011,0.069,,14.0,0.061,,0.429,1.6,,,0.004,4345.0,0.000217,2e-05,,0.00017,0.0013,0.0008,8e-05,0.426,0.00025,0.001
Cod liver oil,Seafood,0.0,902.0,0.0,0.57,0.0,100.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,100000.0,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
