Fixed broadband subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Agriculture, forestry, and fishing, value added (% of GDP)","Birth rate, crude (per 1,000 people)",Population ages 65 and above (% of total population),"Death rate, crude (per 1,000 people)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),Fixed telephone subscriptions (per 100 people),Arable land (% of land area),Gross savings (% of GDP),Rural population,Urban population (% of total population),Net ODA received (% of GNI),"Population, female (% of total population)","Government expenditure on education, total (% of GDP)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Fuel exports (% of merchandise exports),"GNI, PPP (current international $)",Rural population (% of total population),"GNI per capita, PPP (current international $)"
43.62,4.2,1.54,11.5,19.93,9.1,60.99,52.41,13.2,33.72,22.75,13263152.0,80.18,2.8,51.64,5.45,3.46,2.8,70734620622.5,19.82,45580.0
20.6,15.9,3.06,14.02,8.1,3.22,45.65,13.4,30.9,0.72,21.84,112909.0,61.78,2.8,49.23,4.26,2.58,0.03,70734620622.5,38.22,14380.0
0.68,46.8,5.27,29.71,3.89,7.05,68.14,8.36,0.99,1.26,21.84,235937.0,88.98,0.76,48.91,3.56,6.62,3.5300000000000002,29897369577.0,11.02,13970.0
0.17,54.8,21.0,35.74,2.51,7.4,90.28,62.65,1.37,10.29,18.68,938210.0,60.6,2.8,50.32,2.46,3.29,0.0,4685813019.0,39.4,1970.0
20.46,10.0,6.92,14.86,14.18,12.6,52.22,34.32,18.8,4.66,17.22,1557150.0,58.23,2.85,50.335,3.52,4.04,4.1,48687859141.0,41.77,13060.0
39.99,3.9,0.85,9.5,21.31,11.3,53.14,47.76,13.2,33.69,28.84,18795376.0,77.26,2.8,50.68,4.87,2.95,1.8,70734620622.5,22.74,54340.0
0.19,50.9,19.56,28.98,3.21,7.39,71.32,53.11,1.0,20.06,15.86,13477013.0,55.41,2.2,50.12,3.19,2.63,3.5300000000000002,148000000000.0,44.59,4880.0
50.73,15.9,6.59,11.48,18.76,8.18,57.38,38.6,13.2,10.29,21.84,0.0,100.0,2.8,50.1,4.26,4.03,3.5300000000000002,70734620622.5,0.0,14380.0
35.14,4.2,3.86,8.2,21.37,11.6,55.74,46.96,48.1,16.62,9.67,2288166.0,78.72,2.8,50.96,3.48,3.15,3.5300000000000002,306000000000.0,21.28,28460.0
21.73,15.9,19.06,15.2,8.26,8.9,40.93,0.59,16.5,10.29,21.84,7542.0,86.57,2.8,50.335,4.26,4.03,0.0,70734620622.5,13.43,14380.0
19.26,15.3,5.37,17.19,9.34,7.9,50.08,23.53,28.1,8.82,21.84,77191.0,36.16,0.58,49.82,3.17,2.5,0.93,1550331223.0,63.84,12820.0
10.905000000000001,15.9,6.59,18.0,9.78,6.13,57.86,31.48,13.2,1.85,21.84,8938.0,94.7,2.8,49.47,4.26,4.03,3.5300000000000002,70734620622.5,5.3,14380.0
3.21,26.4,9.7,24.79,4.56,5.02,65.68,42.21,14.9,14.04,14.78,7934315.0,50.68,0.52,50.47,2.95,4.24,3.46,155000000000.0,49.32,9640.0
0.01,15.9,20.53,36.63,3.42,10.12,86.23,59.4,0.0,12.62,11.42,7859443.0,35.79,4.6,50.78,2.32,5.66,3.5300000000000002,33118247750.0,64.21,2710.0
0.05,15.9,6.59,33.29,2.69,8.64,81.37,28.69,0.0,10.67,19.41,1072535.0,42.95,7.64,50.74,4.26,8.05,3.5300000000000002,3946168291.0,57.06,2100.0
8.44,31.1,22.76,20.96,5.61,7.47,54.63,5.29,17.7,2.13,21.84,560700.0,26.54,1.08,51.09,4.66,3.96,0.0,9385871840.0,73.46,12300.0
0.28,65.9,18.83,24.98,4.23,8.01,60.66,72.93,0.05,10.29,15.79,4959642.0,54.35,6.48,50.37,1.5,5.37,3.5300000000000002,36264719873.0,45.65,3340.0
2.49,19.0,12.67,22.16,3.76,4.22,57.7,31.17,5.12,9.1,23.15,4191816.0,56.46,2.04,49.46,5.74,4.1,0.82,50592235980.0,43.54,5260.0
35.7,15.9,0.07,7.6,16.69,6.3,39.99,4.86,13.2,2.95,26.65,0.0,100.0,2.8,50.335,3.31,1.31,0.11,457000000000.0,0.0,61840.0
30.21,4.5,3.75,9.7,18.81,13.5,50.01,58.11,32.0,10.29,24.71,2832442.0,71.06,2.8,52.25,4.65,3.81,2.5,277000000000.0,28.94,28300.0
39.19,2.6,3.78,11.9,14.03,6.5,50.53,18.67,42.6,1.21,25.96,21384.0,93.77,2.8,49.24,4.26,4.03,1.18,19199495506.0,6.23,55910.0
1.31,38.7,16.56,17.91,6.04,6.59,50.68,60.28,1.71,10.29,31.71,1792520.0,33.6,0.12,48.34,4.31,4.46,12.19,70734620622.5,66.4,6100.0
2.33,25.4,13.16,17.52,6.35,7.58,48.77,33.71,4.13,14.01,30.88,1792520.0,54.66,0.03,49.62,4.26,3.14,3.5300000000000002,70734620622.5,45.34,10460.0
10.11,14.3,9.83,18.61,6.25,4.69,43.32,28.62,36.5,9.33,21.84,21638370.0,74.39,0.03,49.36,3.46,8.73,3.5300000000000002,70734620622.5,25.61,15180.0
10.91,27.7,2.98,28.92,3.19,4.64,74.88,21.49,8.23,11.45,32.1,11776202.0,70.28,1.57,50.04,4.26,4.86,3.5300000000000002,398000000000.0,29.72,10040.0
29.08,3.5,1.17,12.9,13.66,6.3,53.02,65.16,38.9,6.69,34.39,1781281.0,62.95,2.8,50.49,3.49,1.51,0.81,299000000000.0,37.05,62200.0
10.905000000000001,15.9,0.4,9.25,20.99,10.02,58.23,70.53,13.2,40.35,21.84,39736.0,52.46,2.8,50.46,4.26,4.03,3.5300000000000002,70734620622.5,47.54,14380.0
28.01,3.7,1.43,21.1,11.31,5.2,65.58,29.76,38.7,17.88,26.63,667787.0,92.34,2.8,50.25,6.01,2.64,1.44,341000000000.0,7.66,39140.0
27.47,3.3,1.97,7.6,22.52,10.7,56.14,43.37,34.3,22.78,20.68,18073840.0,70.14,2.8,51.39,4.04,2.54,3.27,70734620622.5,29.86,41810.0
8.49,18.7,6.63,12.75,6.53,7.15,40.68,38.5,10.5,11.08,21.56,1253154.0,55.38,0.43,50.34,5.26,3.87,18.81,26865293784.0,44.62,9570.0
31.9,2.6,1.13,7.6,28.46,10.8,69.1,13.11,50.3,11.42,29.29,10748180.0,91.54,2.8,51.36,3.13,3.44,1.63,70734620622.5,8.47,42980.0
3.24,16.5,4.44,23.38,3.27,3.16,60.27,11.34,3.49,2.11,14.5,945229.0,90.75,7.2,48.0,3.21,3.99,0.12,94354043785.0,9.25,9240.0
13.81,10.6,4.52,21.64,7.31,7.15,54.73,80.09,19.8,10.99,25.93,7695637.0,57.34,0.04,52.07,3.39,6.08,3.5300000000000002,398000000000.0,42.66,22090.0
0.59,45.4,20.89,29.76,2.63,7.29,76.15,48.65,0.14,10.19,13.28,1792520.0,26.56,3.08,50.36,4.27,5.24,1.01,202000000000.0,73.44,4120.0
0.09,60.0,6.59,28.62,3.5,6.43,64.7,41.98,0.64,2.47,21.84,56255.0,53.26,2.8,51.36,4.26,7.54,7.24,543609392.9,46.74,4520.0
10.905000000000001,19.0,6.59,13.51,10.7,8.5,43.04,21.59,4.57,19.06,21.84,9778365.0,61.68,2.8,50.78,4.26,7.9,3.5300000000000002,70734620622.5,38.32,14380.0
41.17,3.3,1.85,7.0,13.87,5.6,36.84,17.2,52.1,14.32,37.01,9500413.0,81.5,2.8,49.95,4.33,5.61,6.35,70734620622.5,18.5,41120.0
10.905000000000001,12.6,7.41,12.62,8.69,5.26,49.52,38.6,13.2,10.29,29.28,1792520.0,62.28,5.36,50.12,4.26,4.03,3.5300000000000002,17138132289.0,37.72,9570.0
2.83,8.9,0.53,14.39,2.84,1.91,32.18,8.5,13.0,0.48,35.49,0.0,100.0,2.8,50.335,6.35,7.18,3.5300000000000002,224000000000.0,0.0,54200.0
4.15,19.9,12.51,24.8,3.96,5.4,59.46,54.95,5.82,6.71,26.67,3958480.0,36.14,6.34,50.93,6.03,5.15,4.96,29734454048.0,63.87,4800.0
