"Population, total",Population growth (annual %),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),Urban population (% of total population),Net migration,"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
2639916.0,2.53,43.5,2.44,63.22,-1960.0,7.54,62.08,0.4,47.2,91.21,101.39,55.27,6.21
3708610.0,-0.38,21.09,14.56,59.87,-2734.0,8.129999999999999,71.69,0.3,9.5,102.97,106.0,76.82,11.79
6719538.0,0.04,13.87,22.17,77.54,-563.5,12.3,80.79,0.1,3.6,101.35,101.2,75.67,3.64
32833031.0,2.01,37.25,3.48,57.99,-11253.0,7.63,63.8,0.4,43.8,97.9,75.31,55.27,3.34
32669.0,-0.12,17.1,20.43,100.0,-58.0,11.55,79.33,0.4,15.4,99.91,95.23,55.27,6.035
10569207.0,-1.22,14.06,22.51,80.04,-14806.0,13.6,80.08,0.2,4.0,97.33,104.78,55.27,14.66
56653.0,0.51,20.89,9.46,87.51,-62.0,9.4,71.81,0.4,15.4,99.91,95.23,55.27,6.035
124610.0,0.76,24.07,9.84,36.69,-85.0,8.15,74.94,0.4,16.0,99.91,95.23,55.27,6.035
170534.0,0.77,26.3,11.46,95.02,-244.0,7.34,76.66,0.4,15.4,99.91,95.23,55.27,6.0
17109746.0,1.48,32.93,4.9,52.25,-563.5,6.5,69.24,0.2,22.9,103.81,95.23,55.27,2.17
13531906.0,2.44,41.83,3.36,37.26,-4367.0,9.99,58.89,0.4,15.4,97.96,95.23,55.27,5.77
2060721.0,2.2,40.56,2.81,44.62,-1395.0,8.72,59.65,0.4,15.4,99.91,95.23,55.27,3.63
804567.0,0.92,28.71,6.16,26.9,-4316.0,9.99,65.67,0.4,27.5,99.72,85.52,55.27,14.93
11447569.0,1.24,32.36,4.49,57.96,-563.5,8.68,63.19,0.4,58.2,99.91,95.23,55.27,15.25
10278345.0,1.54,30.57,4.2,58.98,-5779.0,5.61,70.12,0.2,16.6,99.91,95.23,55.27,7.94
